id,ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,home_link
29023,LFYK,small_airport,Marville Montmédy Airfield,909,EU,FR,FR-M,,
29024,LFYL,closed,Lure Malbouhans Air Base,1040,EU,FR,FR-I,,
29025,LFYM,closed,Marigny Le Grand Air Base,329,EU,FR,FR-G,,
29026,LFYR,small_airport,Romorantin Pruniers Airfield,289,EU,FR,FR-F,,
29027,LFYS,small_airport,Ste Léocadie Airfield,4331,EU,FR,FR-K,,
29028,LFYT,closed,Saint-Simon - Clastres Air Base,295,EU,FR,FR-S,,
328712,LFYV,small_airport,Yvetot-Baons Le Comte Airfield,467,EU,FR,FR-Q,Yvetot,http://www.aeroclub-yvetot.fr/
3140,LG53,closed,Lamia Air Base,38,EU,GR,GR-06,Lamia,
3141,LG54,small_airport,Tympaki Airport,7,EU,GR,GR-91,Crete Island,
3142,LG55,small_airport,Triodhon Airport,36,EU,GR,GR-17,Triodhon,
3143,LG56,small_airport,Olimboi Airport,656,EU,GR,GR-85,Chios Island,
4248,LGAD,medium_airport,Andravida Air Base,55,EU,GR,GR-14,Andravida,
4249,LGAG,closed,Agrinion Air Base,154,EU,GR,GR-01,Agrinion,
4250,LGAL,medium_airport,Dimokritos Airport,24,EU,GR,GR-71,Alexandroupolis,
42448,LGAM,heliport,Amphiali Heliport,43,EU,GR,GR-A1,Salamis Island,
29673,LGAT,closed,Athen Helenikon Airport,69,EU,GR,GR-A1,Athens,
4251,LGAV,large_airport,Eleftherios Venizelos International Airport,308,EU,GR,GR-A1,Athens,http://www.aia.gr
4252,LGAX,small_airport,Alexandria Airport,27,EU,GR,GR-53,Alexandria,
4253,LGBL,medium_airport,Nea Anchialos Airport,83,EU,GR,GR-43,Nea Anchialos,
313896,LGE,small_airport,Mulan Airport,978,OC,AU,AU-WA,Lake Gregory,
4254,LGEL,medium_airport,Elefsis Airport,143,EU,GR,GR-A1,Elefsina,
29852,LGEP,small_airport,Epitalion Airport,3,EU,GR,GR-14,Pyrgos,
4255,LGHI,medium_airport,Chios Island National Airport,15,EU,GR,GR-85,Chios Island,http://www.hcaa-eleng.gr/chios.htm
30281,LGHL,closed,Porto Cheli Airport,69,EU,GR,GR-11,Porto Cheli,
4256,LGIK,small_airport,Ikaria Airport,79,EU,GR,GR-84,Ikaria Island,
4257,LGIO,medium_airport,Ioannina Airport,1558,EU,GR,GR-33,Ioannina,
4258,LGIR,large_airport,Heraklion International Nikos Kazantzakis Airport,115,EU,GR,GR-91,Heraklion,
4259,LGKA,small_airport,Kastoria National Airport,2167,EU,GR,GR-56,Kastoria,
4260,LGKC,small_airport,Kithira Airport,1045,EU,GR,GR-A1,Kithira Island,
4261,LGKF,medium_airport,Kefallinia Airport,59,EU,GR,GR-23,Kefallinia Island,
30014,LGKJ,small_airport,Kastelorizo Airport,489,EU,GR,GR-81,Kastelorizo Island,
4262,LGKL,medium_airport,Kalamata Airport,26,EU,GR,GR-17,Kalamata,
4263,LGKM,small_airport,Amigdhaleon Airport,203,EU,GR,GR-55,Filipos,
30120,LGKN,small_airport,Marathon Kotroni Air Base,682,EU,GR,GR-A1,Marathon,
4264,LGKO,medium_airport,Kos Airport,412,EU,GR,GR-81,Kos Island,
4265,LGKP,medium_airport,Karpathos Airport,66,EU,GR,GR-81,Karpathos Island,
4266,LGKR,medium_airport,Ioannis Kapodistrias International Airport,6,EU,GR,GR-22,Kerkyra Island,
4267,LGKS,small_airport,Kasos Airport,35,EU,GR,GR-81,Kasos Island,
4268,LGKV,medium_airport,Alexander the Great International Airport,18,EU,GR,GR-55,Kavala,
30004,LGKY,small_airport,Kalymnos Airport,771,EU,GR,GR-81,Kalymnos Island,
4269,LGKZ,medium_airport,Filippos Airport,2059,EU,GR,GR-58,Kozani,
4270,LGLE,small_airport,Leros Airport,39,EU,GR,GR-81,Leros Island,
4271,LGLM,small_airport,Limnos Airport,14,EU,GR,GR-83,Limnos Island,
4272,LGLR,small_airport,Larisa Airport,241,EU,GR,GR-42,Larisa,
42449,LGLX,heliport,Piraeus Heliport,30,EU,GR,GR-A1,El Pireo Port,
313897,LGM,closed,Laiagam Airport,7267,OC,PG,PG-EPW,Laiagam,
4273,LGMG,small_airport,Megara Airport,12,EU,GR,GR-A1,Megara,
4274,LGMK,medium_airport,Mikonos Airport,405,EU,GR,GR-82,Mykonos Island,
30139,LGML,small_airport,Milos Airport,10,EU,GR,GR-82,Milos Island,
30114,LGMR,closed,Marathon Wasser Airport,3,EU,GR,GR-A1,Marathon,
4275,LGMT,medium_airport,Mytilene International Airport,60,EU,GR,GR-83,Mytilene,
302389,LGN,small_airport,Linga Linga Airport,17,OC,PG,PG-WBK,Linga Linga,
30182,LGNX,small_airport,Naxos Airport,10,EU,GR,GR-82,Naxos Island,
30243,LGPA,small_airport,Paros National Airport,131,EU,GR,GR-82,Paros Island,
4276,LGPL,small_airport,Astypalaia Airport,165,EU,GR,GR-81,Astypalaia Island,
4277,LGPZ,medium_airport,Aktion National Airport,11,EU,GR,GR-34,Preveza/Lefkada,
4278,LGRD,small_airport,Maritsa Airport,204,EU,GR,GR-81,Rodes Island,
4279,LGRP,medium_airport,Diagoras Airport,17,EU,GR,GR-81,Rodes Island,
28104,LGRS,small_airport,Logan Reserve Airport,,OC,AU,AU-QLD,,
4280,LGRX,medium_airport,Araxos Airport,46,EU,GR,GR-13,Patras,http://www.araxos-airport.gr/
4281,LGSA,medium_airport,Chania International Airport,490,EU,GR,GR-94,Souda,
30402,LGSD,small_airport,Sedes Airport,85,EU,GR,GR-54,Sedes,
4282,LGSK,medium_airport,Skiathos Island National Airport,54,EU,GR,GR-43,Skiathos,
4283,LGSM,medium_airport,Samos Airport,19,EU,GR,GR-84,Samos Island,
4284,LGSO,small_airport,Syros Airport,236,EU,GR,GR-82,Syros Island,
4285,LGSP,small_airport,Sparti Airport,500,EU,GR,GR-16,Sparti,
4286,LGSR,medium_airport,Santorini Airport,127,EU,GR,GR-82,Santorini Island,
4287,LGST,medium_airport,Sitia Airport,376,EU,GR,GR-92,Crete Island,
4288,LGSV,closed,Stefanovikion Air Base,146,EU,GR,GR-43,Stefanovikion,
4289,LGSY,small_airport,Skiros Airport,44,EU,GR,GR-04,Skiros Island,
4290,LGTG,medium_airport,Tanagra Air Base,485,EU,GR,GR-03,Tanagra,
4291,LGTL,small_airport,Kasteli Airport,1180,EU,GR,GR-91,Crete Island,
4292,LGTP,small_airport,Tripolis Airport,2113,EU,GR,GR-12,Trípoli,
4293,LGTS,large_airport,Thessaloniki Macedonia International Airport,22,EU,GR,GR-54,Thessaloniki,
4294,LGTT,small_airport,Tatoi Airport,785,EU,GR,GR-A1,Tatoi,
